Creditability,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,TSC_6EFA
1,-2.186478473,-1.808824372,1.049075466,-1.396748925,-1.497233527,-2.099506947,2
1,-1.152799466,-0.571386183,1.524666092,-0.887661506,-1.975138691,-2.049775742,2
1,0.172005452,1.188807318,1.944539037,-0.344624534,-1.316066524,-2.513010656,2
1,1.135690787,-0.480937902,0.343185178,0.516117771,0.09162004,-1.594433774,2
1,-1.023642454,0.9120463,-0.183793184,-0.345923815,0.480048023,-2.726026852,2
1,0.564763434,-0.741662472,-1.234420696,-0.667758026,-0.491484624,-2.292038423,2
1,0.783126788,-1.061498813,-0.949951921,0.779301951,0.949882564,-2.666421276,2
1,-0.372703556,1.574122139,-0.413946544,0.21801322,-0.329625253,-1.907441588,2
1,0.522764204,-0.775570537,0.482179031,-0.259694405,-0.528249863,-2.57748868,2
1,-0.298358557,1.434616505,-0.754034613,-1.195277975,1.005899768,-1.915754555,2
1,0.361230094,1.753739547,1.546873559,0.171994055,-0.520000544,-1.742759438,2
1,0.210719443,-0.604052825,-0.613072069,0.148775736,0.342401008,-1.751134727,2
1,1.326866388,-0.138250555,-0.248041654,-0.463232678,-1.470155099,-2.664230247,2
1,1.100903032,1.552126954,-0.411384676,0.419555563,-0.848983368,-1.882479767,2
1,1.352561552,-0.687476253,-0.793521751,1.079180296,0.960367101,-1.580427768,2
1,0.604459799,-0.550136045,-0.319412466,1.380732429,-1.08960331,-2.178002709,2
1,-0.654407042,-0.957983296,-1.414571047,1.441473504,0.648362908,-2.770171605,2
1,0.5087197,-0.752493327,-0.463903636,-0.315050128,-1.219641469,-1.565763771,2
1,0.627851828,-0.765805099,-1.202195944,-1.263388326,0.663767527,-2.078999358,2
1,0.10753931,-0.892751742,1.172631767,1.418529558,0.188735224,-1.265133384,2
1,-0.85251013,0.970465524,-0.387914104,1.962169563,0.621983852,-2.642980537,2
0,-1.186790542,0.428795891,-0.730803414,-0.706062911,-0.10105143,-2.163344348,2
1,-0.554593812,-1.202728648,-0.453730056,-0.821363829,0.320576505,-2.405896357,2
